5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Lane 4 Flow (Veh/5 Minutes),Lane 4 Speed (mph),Lane 5 Flow (Veh/5 Minutes),Lane 5 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed,Holiday
11/13/2017 0:00,19,76.5,17,69,29,61,13,69.2,12,64.5,90,67.4,5,60,0
11/13/2017 0:05,24,76.8,21,69,36,61,21,69.2,21,64.5,123,67.5,5,60,0
11/13/2017 0:10,19,77.1,22,69,36,61,21,69.4,21,64.5,119,67.2,5,60,0
11/13/2017 0:15,26,75.5,9,69,28,61,23,69.2,23,64.5,109,67.6,5,60,0
11/13/2017 0:20,25,76.1,12,69,32,61,23,69.5,23,64.4,115,67.5,5,60,0
11/13/2017 0:25,25,75.9,16,69.1,31,61.1,15,69.3,15,64.4,102,67.7,5,60,0
11/13/2017 0:30,19,76.4,9,69.1,28,61.1,21,69.2,21,64.4,98,67.2,5,60,0
11/13/2017 0:35,19,76.4,9,69.1,25,61.1,8,69.2,8,64.4,69,67.7,5,60,0
11/13/2017 0:40,10,75.6,9,69.1,28,61.1,11,69.3,11,64.4,69,66.1,5,60,0
11/13/2017 0:45,17,76,14,69.2,28,61.2,11,68.3,11,64.5,81,67.1,5,60,0
11/13/2017 0:50,16,76.5,9,69.2,22,61.2,5,68.8,5,64.5,57,67.7,5,60,0
11/13/2017 0:55,7,76.6,9,69.2,28,61.2,11,68.4,11,64.5,66,65.7,5,60,0
11/13/2017 1:00,12,76.7,9,69.2,28,61.2,13,69,13,64.5,75,66.5,5,60,0
11/13/2017 1:05,16,76.9,9,69.2,28,61.2,11,69.1,11,64.5,75,67.1,5,60,0
11/13/2017 1:10,8,76.7,9,69.2,23,61.2,6,69.1,6,64.5,52,66.2,5,60,0
11/13/2017 1:15,12,75.7,9,69.2,28,61.2,13,67.7,13,64.5,75,66.2,5,60,0
11/13/2017 1:20,10,76,9,69.2,24,61.2,8,68.4,7,64.5,58,66.4,5,60,0
11/13/2017 1:25,14,76.2,9,69.2,22,61.2,5,68.8,5,64.5,55,67.3,5,60,0
11/13/2017 1:30,8,76.4,9,69.2,24,61.2,7,68.9,7,64.6,55,66.1,5,60,0
11/13/2017 1:35,9,76.5,9,69.2,23,61.2,5,69,6,64.7,52,66.4,5,60,0
11/13/2017 1:40,13,76.3,9,69.2,23,61.2,6,69.3,6,64.7,57,67.1,5,60,0
11/13/2017 1:45,8,76.5,7,69.2,21,61.2,4,69.3,3,64.5,43,66.3,5,60,0
11/13/2017 1:50,10,76.6,8,69.2,22,61.2,4,68.4,4,64.5,48,66.6,5,60,0
11/13/2017 1:55,8,76.2,9,69.2,25,61.2,10,69,8,64.6,60,66.1,5,60,0
11/13/2017 2:00,11,76.7,9,69.2,25,61.2,8,68.5,8,64.5,61,66.5,5,60,0
11/13/2017 2:05,4,75.6,9,69.2,23,61.2,6,69.1,6,64.5,48,65.3,5,60,0
11/13/2017 2:10,8,76.4,9,68.9,27,60.9,10,69.3,10,64.5,64,65.9,5,60,0
11/13/2017 2:15,5,76,9,68.9,24,60.9,7,69.2,7,64.5,52,65.4,5,60,0
11/13/2017 2:20,1,76.2,9,68.9,23,60.9,6,69.2,6,64.5,45,64.5,5,60,0
11/13/2017 2:25,7,76,9,68.9,23,60.9,6,69.2,6,64.4,51,65.8,5,60,0
11/13/2017 2:30,3,76.2,7,68.9,21,60.9,3,69.1,3,64.6,37,64.7,5,60,0
11/13/2017 2:35,3,76.4,9,68.9,22,60.9,5,68.3,5,64.5,44,64.9,5,60,0
11/13/2017 2:40,6,76.6,7,68.9,21,60.9,3,68.8,3,64.5,40,65.5,5,60,0
11/13/2017 2:45,4,75.7,8,68.9,22,60.9,4,69,4,64.5,42,65,5,60,0
11/13/2017 2:50,7,76.3,9,68.9,24,60.9,7,68.1,7,64.5,54,65.7,5,60,0
11/13/2017 2:55,5,76,9,68.9,25,60.9,8,68.7,8,64.5,55,65.3,5,60,0
11/13/2017 3:00,5,76.7,6,68.9,20,60.9,2,68.9,2,64.5,35,65.2,5,60,0
11/13/2017 3:05,6,77,7,68.9,21,60.9,3,69.1,3,64.5,40,65.6,5,60,0
11/13/2017 3:10,11,77.5,5,68.9,19,60.9,1,69.3,1,64.5,37,67.3,5,60,0
11/13/2017 3:15,1,77.1,9,68.9,24,60.9,7,69.1,7,64.5,48,64.5,5,60,0
11/13/2017 3:20,3,75.9,6,68.9,20,60.9,2,69.3,2,64.5,33,64.5,5,60,0
11/13/2017 3:25,3,76.3,4,68.9,18,60.9,0,69.3,0,64.5,25,64.1,5,60,0
11/13/2017 3:30,8,75.5,8,68.9,22,60.9,4,69.2,4,64.5,46,65.9,5,60,0
11/13/2017 3:35,8,76.6,9,68.9,23,60.9,6,69.2,6,64.5,52,66.1,5,60,0
11/13/2017 3:40,7,76.5,9,68.9,22,60.9,6,69.2,5,64.5,49,66,5,60,0
11/13/2017 3:45,9,75.8,7,68.9,21,60.9,3,68.5,3,64.5,43,66.1,5,60,0
11/13/2017 3:50,7,76.7,9,68.9,24,60.9,7,69,7,64.5,54,65.8,5,60,0
11/13/2017 3:55,7,76.4,9,68.9,24,60.9,7,69.4,7,64.5,54,65.8,5,60,0
11/13/2017 4:00,5,76.5,7,68.9,21,60.9,3,69.4,3,64.5,39,65.3,5,60,0
11/13/2017 4:05,3,76.6,9,68.9,22,60.9,5,69.5,5,64.5,44,65,5,60,0
11/13/2017 4:10,9,77.4,7,68.9,21,60.9,3,69.4,3,64.5,43,66.5,5,60,0
11/13/2017 4:15,10,77.6,7,68.9,21,60.9,3,69.3,3,64.6,44,66.8,5,60,0
11/13/2017 4:20,10,76,9,68.9,25,60.9,8,67.3,8,64.5,60,66,5,60,0
11/13/2017 4:25,9,75.8,9,68.9,23,60.9,6,68.2,6,64.5,53,66,5,60,0
11/13/2017 4:30,10,76.7,9,68.9,23,60.9,6,68.7,6,64.5,54,66.5,5,60,0
11/13/2017 4:35,9,77.3,9,68.9,24,60.9,7,69.1,7,64.5,56,66.3,5,60,0
11/13/2017 4:40,9,77.5,12,69.2,25,61.2,9,69.5,8,64.5,63,66.6,5,60,0
11/13/2017 4:45,9,76.8,9,69.2,25,61.2,8,68.6,8,64.5,59,66.2,5,60,0
11/13/2017 4:50,14,77,9,69.2,27,61.2,10,69,10,64.5,70,67,5,60,0
11/13/2017 4:55,16,77.3,9,69.2,28,61.2,17,69.3,17,64.4,87,67.2,5,60,0
11/13/2017 5:00,20,76.7,9,69.2,26,61.2,10,69.5,9,64.5,74,67.9,5,60,0
11/13/2017 5:05,13,76.3,9,69.2,25,61.2,8,69.4,8,64.5,63,66.9,5,60,0
11/13/2017 5:10,20,77.3,11,68.9,29,60.9,14,68.6,13,64.5,87,67.5,5,60,0
11/13/2017 5:15,12,76.7,9,68.9,28,60.9,12,67.9,12,64.5,73,66.2,5,60,0
11/13/2017 5:20,24,76.2,9,68.9,28,60.9,12,68.6,12,64.5,85,67.7,5,60,0
11/13/2017 5:25,24,72.9,9,68.9,24,60.9,7,68.8,7,64.5,71,67.1,5,60,0
11/13/2017 5:30,13,75.3,13,68.9,25,60.9,8,69.1,8,64.5,67,66.7,5,60,0
11/13/2017 5:35,22,76.3,19,67.9,30,60,14,69.3,14,64.5,99,67.1,5,60,0
11/13/2017 5:40,29,73.6,28,67.5,37,59.7,23,68.6,22,64.5,139,66.4,5,60,0
11/13/2017 5:45,27,77.6,29,68.8,42,60.8,28,68.5,27,64.5,153,67.3,5,60,0
11/13/2017 5:50,17,77.8,23,69,29,61,10,69,10,64.5,89,67.6,5,60,0
11/13/2017 5:55,30,78.8,21,69.2,32,61.2,16,69.4,16,64.5,115,68.8,5,60,0
11/13/2017 6:00,24,78,30,69.6,39,61.5,25,69.6,24,64.5,142,67.9,5,60,0
11/13/2017 6:05,19,77.7,21,69.3,38,61.2,24,70,23,64.5,125,67.4,5,60,0
11/13/2017 6:10,31,70.1,21,69.2,32,61.2,18,69,16,64.4,118,66.6,5,60,0
11/13/2017 6:15,41,76.4,38,67.8,45,59.9,32,69.8,31,64.4,187,67.6,5,60,0
11/13/2017 6:20,29,72.9,29,67.5,38,59.7,24,69.3,23,64.4,143,66.3,5,60,0
11/13/2017 6:25,37,73.9,36,67.4,44,59.7,30,69.1,30,64.4,177,66.6,5,60,0
11/13/2017 6:30,47,76.9,28,68.9,37,60.9,22,68.2,22,64.4,156,68.7,5,60,0
11/13/2017 6:35,43,80.3,35,68.4,40,60.6,24,68.9,22,64.4,164,69.2,5,60,0
11/13/2017 6:40,40,80.8,28,68.6,37,60.7,23,69.3,22,64.5,150,69.4,5,60,0
11/13/2017 6:45,45,79.5,37,68.8,44,61.3,29,70.6,29,64.5,184,69.2,5,60,0
11/13/2017 6:50,53,78.2,40,68.9,44,60.9,32,70.7,30,64.5,199,69.2,5,60,0
11/13/2017 6:55,50,78.4,41,69.3,50,61.2,39,71,34,64.4,214,69.1,5,60,0
11/13/2017 7:00,53,77.1,43,69.8,47,62.3,29,70.5,29,64.5,201,69.3,5,60,0
11/13/2017 7:05,38,77.8,42,69.4,49,61.3,35,71.3,35,64.6,199,68.5,5,60,0
11/13/2017 7:10,47,76.2,59,69,61,61,42,70.1,40,64.5,249,67.9,5,60,0
11/13/2017 7:15,42,73.3,56,69.2,58,61.2,34,70,33,64.5,223,67.3,5,60,0
11/13/2017 7:20,53,78.1,42,69.5,46,61.4,28,70.3,27,64.5,196,69.4,5,60,0
11/13/2017 7:25,63,79,62,69.1,65,61.6,53,71.9,53,64.8,296,69.3,5,60,0
11/13/2017 7:30,75,77.9,51,70.8,56,62.6,43,70.4,43,64.4,268,70,5,60,0
11/13/2017 7:35,82,76.5,58,69.7,60,61.6,43,70.9,43,64.4,286,69.3,5,60,0
11/13/2017 7:40,79,76.2,64,68.8,64,60.8,33,70.1,30,64.4,270,68.7,5,60,0
11/13/2017 7:45,73,76.9,74,69.9,73,61.8,48,69.9,48,64.5,316,68.8,5,60,0
11/13/2017 7:50,81,76.1,70,70.2,70,62,51,70.2,48,64.6,320,69.1,5,60,0
11/13/2017 7:55,79,77,64,68.9,66,60.9,55,70.4,55,64.6,319,68.8,5,60,0
11/13/2017 8:00,83,77.4,76,68.8,76,60.8,50,70,47,64.5,332,68.7,5,60,0
11/13/2017 8:05,94,80.5,72,70.8,72,62.5,61,70.2,59,64.7,358,70.6,5,60,0
11/13/2017 8:10,84,77.9,54,71.2,59,62.9,50,69.5,46,64.5,293,70.1,5,60,0
11/13/2017 8:15,90,77.3,69,70,69,61.9,51,72.1,46,64.6,325,69.9,5,60,0
11/13/2017 8:20,64,77.7,68,70,68,61.9,48,71.5,47,64.4,295,69.2,5,60,0
11/13/2017 8:25,60,74.5,70,69.6,76,61.5,66,68.2,61,64.4,333,67.4,5,60,0
11/13/2017 8:30,79,74,52,70.1,54,61.9,39,68.9,38,64.4,262,68.6,5,60,0
11/13/2017 8:35,60,78.3,58,70.7,59,62.4,44,70.3,43,64.6,264,69.5,5,60,0
11/13/2017 8:40,86,81.9,46,71.5,50,63.2,37,69.8,36,64.5,255,72.1,5,60,0
11/13/2017 8:45,70,84.1,63,72.4,72,63.9,49,70.3,49,64.7,303,71.5,5,60,0
11/13/2017 8:50,58,81.4,68,69.9,68,61.8,55,68.3,51,64.8,300,69.1,5,60,0
11/13/2017 8:55,57,77.3,63,69,66,61,58,68.8,54,64.9,298,68,5,60,0
11/13/2017 9:00,68,79.8,66,69.5,71,61.4,61,65.6,60,64.7,326,68.3,5,60,0
11/13/2017 9:05,62,74.7,58,68.5,60,60.6,38,64.6,36,64.6,254,67,5,60,0
11/13/2017 9:10,48,73.6,54,68.4,58,60.5,46,64.4,46,64.5,252,66.1,5,60,0
11/13/2017 9:15,57,73.6,58,69.4,60,61.4,48,69.3,48,64.6,271,67.6,5,60,0
11/13/2017 9:20,70,74,70,67,73,59.2,64,69,63,64.1,340,66.6,5,60,0
11/13/2017 9:25,64,74.3,61,68,67,60.1,58,67.7,56,64.4,306,66.9,5,60,0
11/13/2017 9:30,53,70.2,73,69.2,79,61.2,59,70.5,57,64.7,321,66.8,5,60,0
11/13/2017 9:35,65,75,59,69,63,61,51,66.3,51,64.6,289,67.4,5,60,0
11/13/2017 9:40,53,78.4,59,67,64,59.3,54,70.8,51,64.2,281,67.6,5,60,0
11/13/2017 9:45,68,77.2,69,68,72,60.1,64,70.8,61,64.2,334,68,5,60,0
11/13/2017 9:50,60,78.2,51,68.7,61,60.7,53,68.9,49,64.2,274,68.2,5,60,0
11/13/2017 9:55,53,79.4,64,67.6,73,59.8,65,69.3,63,64.2,318,67.5,5,60,0
11/13/2017 10:00,58,78.6,52,68,61,60.1,49,66.1,49,64.3,269,67.5,5,60,0
11/13/2017 10:05,77,75.4,55,68.1,65,60.5,54,68.9,53,64.2,304,67.8,5,60,0
11/13/2017 10:10,56,78.5,56,68.2,62,60.6,49,71.3,48,64.4,271,68.5,5,60,0
11/13/2017 10:15,39,79.9,59,69.9,64,61.7,54,73,52,64.4,268,69,5,60,0
11/13/2017 10:20,64,76.6,60,69.4,73,61.4,66,71.8,62,64.2,325,68.5,5,60,0
11/13/2017 10:25,67,76.7,64,69.3,73,61.2,66,69.9,62,64.5,332,68.2,5,60,0
11/13/2017 10:30,70,76.6,54,69.9,58,61.7,51,68,46,64.4,279,68.6,5,60,0
11/13/2017 10:35,56,75.5,65,69.9,66,61.8,49,68.2,47,64.6,283,68,5,60,0
11/13/2017 10:40,66,77.2,72,70,73,61.9,64,67.7,63,64.5,338,68.2,5,60,0
11/13/2017 10:45,78,76.6,51,70.3,60,62.2,52,69.6,48,64.5,289,69.2,5,60,0
11/13/2017 10:50,69,73.7,59,69.4,63,61.4,53,72,51,64.5,295,68.3,5,60,0
11/13/2017 10:55,59,78.7,58,70.2,70,62,63,70.6,61,64.2,311,68.9,5,60,0
11/13/2017 11:00,58,72.7,59,70.6,63,62.4,70,69.1,66,64.6,316,67.8,5,60,0
11/13/2017 11:05,60,73.4,69,69.8,73,61.7,68,67.1,63,64.7,333,67.1,5,60,0
11/13/2017 11:10,62,70.8,57,70.2,61,62,48,67.5,45,64.6,273,67.1,5,60,0
11/13/2017 11:15,73,69.2,56,70.1,62,61.9,50,69.6,50,64.6,291,67.1,5,60,0
11/13/2017 11:20,65,71.6,60,70.8,73,62.5,46,68.5,46,64.6,290,67.5,5,60,0
11/13/2017 11:25,55,71.5,60,68.6,70,60.7,61,68.7,59,64.5,305,66.5,5,60,0
11/13/2017 11:30,76,66.9,56,67.2,60,59.4,53,65.2,48,64.4,293,64.7,5,60,0
11/13/2017 11:35,65,66.4,71,68.4,73,60.5,65,65.9,62,64.7,336,65.1,5,60,0
11/13/2017 11:40,73,66.5,60,67.9,66,60,54,67.4,54,64.5,307,65.2,5,60,0
11/13/2017 11:45,69,66.2,69,68.4,71,60.5,62,67.5,60,64.5,331,65.4,5,60,0
11/13/2017 11:50,64,65.8,64,66.5,74,58.9,80,66.9,79,64.3,361,64.4,5,60,0
11/13/2017 11:55,76,68.7,59,67.2,63,59.4,52,67.8,51,64.4,301,65.6,5,60,0
11/13/2017 12:00,67,69.6,59,66.8,61,59.1,48,67.1,47,64.5,282,65.5,5,60,0
11/13/2017 12:05,80,69.3,61,66.2,62,58.6,43,68.9,36,64.5,282,65.6,5,60,0
11/13/2017 12:10,71,69.3,80,65.2,84,57.2,70,66.5,67,64.7,372,64.3,5,60,0
11/13/2017 12:15,74,67.7,70,65.2,82,57.7,79,64.6,73,64.5,378,63.8,5,60,0
11/13/2017 12:20,69,69.9,79,65.8,80,58.2,90,66.4,80,64.8,398,64.9,5,60,0
11/13/2017 12:25,85,70.9,82,64.9,84,57.4,84,67.1,78,64.5,413,65,5,60,0
11/13/2017 12:30,84,72.1,66,66.1,69,58.5,61,68,58,64.7,338,66.2,5,60,0
11/13/2017 12:35,82,73.4,79,66.5,78,58.8,67,68.8,64,64.8,370,66.5,5,60,0
11/13/2017 12:40,81,72.1,66,66.1,73,58.5,64,66.8,62,64.8,346,65.8,5,60,0
11/13/2017 12:45,78,73.3,80,66.2,81,58.6,59,63.8,52,64.8,350,65.4,5,60,0
11/13/2017 12:50,75,73.1,64,67,66,59.2,60,64.4,55,64.7,320,65.9,5,60,0
11/13/2017 12:55,81,73.5,75,67,75,59.2,70,64.1,65,64.7,366,65.9,5,60,0
11/13/2017 13:00,83,71.7,74,66.5,76,58.9,66,65.6,64,64.7,363,65.6,5,60,0
11/13/2017 13:05,75,66.2,70,65.5,83,57.9,83,64.6,82,64.8,393,63.7,5,60,0
11/13/2017 13:10,63,68.4,77,66,82,58.4,75,64.6,67,64.9,364,64.2,5,60,0
11/13/2017 13:15,73,68.2,69,67,69,59.3,66,66.2,63,64.6,340,65.1,5,60,0
11/13/2017 13:20,75,70.8,61,68.3,67,60.4,51,67.2,50,64.6,304,66.4,5,60,0
11/13/2017 13:25,66,73.4,71,68.1,76,60.2,63,67.5,62,64.9,338,66.7,5,60,0
11/13/2017 13:30,79,71.8,65,66.7,74,59,59,66.4,56,64.8,333,65.8,5,60,0
11/13/2017 13:35,81,67.8,77,66.5,76,58.8,55,67.1,55,64.6,344,64.9,5,60,0
11/13/2017 13:40,84,69.1,91,65.9,88,58.3,66,67.3,63,64.4,392,64.9,5,60,0
11/13/2017 13:45,80,71.9,76,64.7,76,57.3,70,65.1,66,64.5,368,64.8,5,60,0
11/13/2017 13:50,67,75.5,75,66.8,86,59.1,68,64.5,65,64.5,361,65.7,5,60,0
11/13/2017 13:55,73,73.5,75,67.4,75,59.6,70,65.9,65,64.4,358,66.2,5,60,0
11/13/2017 14:00,74,71,86,63.9,86,56.1,74,62.4,69,64.3,389,63.3,5,60,0
11/13/2017 14:05,75,69.6,79,63.5,82,55.5,72,61.8,69,64.4,377,62.8,5,60,0
11/13/2017 14:10,95,66.7,85,61.4,94,54.5,66,59,58,64.6,398,61.1,5,60,0
11/13/2017 14:15,72,66.8,93,61.4,93,54.2,89,58.2,82,64.1,429,60.6,5,60,0
11/13/2017 14:20,91,67.1,87,61.7,92,54.7,79,57.9,74,64.2,423,61.1,5,60,0
11/13/2017 14:25,91,68.4,99,62.9,96,55.7,89,60.6,84,64.5,459,62.3,5,60,0
11/13/2017 14:30,94,67.2,92,62.7,89,55.6,82,61.3,76,64.5,433,62.3,5,60,0
11/13/2017 14:35,89,67.2,88,62.7,88,55.5,89,61.9,84,64.5,438,62.3,5,60,0
11/13/2017 14:40,98,70.2,92,62.4,89,54.7,67,62.5,64,64.6,410,62.9,5,60,0
11/13/2017 14:45,87,71.7,112,62.3,110,55.2,71,63.5,68,64.3,448,62.9,5,60,0
11/13/2017 14:50,92,70.4,88,62.7,85,55.6,80,63.2,75,64.5,420,63.4,5,60,0
11/13/2017 14:55,94,69,98,62.5,94,55.4,76,63.3,74,64.6,436,62.9,5,60,0
11/13/2017 15:00,88,70.7,95,64.2,93,56.8,76,64.4,74,64.3,426,64,5,60,0
11/13/2017 15:05,92,69.8,107,63.5,115,56.2,94,63,87,64.2,495,63,5,60,0
11/13/2017 15:10,95,69.6,103,63.8,98,56.5,85,62.5,79,64.1,460,63.3,5,60,0
11/13/2017 15:15,115,71,104,61.8,107,54.8,87,62.9,85,64,498,63,5,60,0
11/13/2017 15:20,105,70.3,101,61.9,97,54.9,79,63.6,72,64,454,63,5,60,0
11/13/2017 15:25,93,69.8,95,63.2,98,55.9,89,64.2,84,64.1,459,63.3,5,60,0
11/13/2017 15:30,96,72.2,92,64.4,97,57,89,64.5,81,63.9,455,64.4,5,60,0
11/13/2017 15:35,88,74,85,66,90,58.4,79,67.1,75,64.2,417,65.9,5,60,0
