5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed,Holiday
1/15/2018 0:00,18,71.9,23,69.7,9,62.7,50,69.2,3,100,1
1/15/2018 0:05,17,70.8,20,69.4,2,62.6,39,69.7,3,100,1
1/15/2018 0:10,13,71.3,15,69.2,6,62.5,34,68.8,3,100,1
1/15/2018 0:15,10,71.7,13,69.4,4,62.7,27,69.3,3,100,1
1/15/2018 0:20,13,72,14,69.6,8,62.8,35,68.9,3,100,1
1/15/2018 0:25,7,72,10,69.5,4,62.7,21,69,3,100,1
1/15/2018 0:30,7,72,11,69.5,3,62.8,21,69.4,3,100,1
1/15/2018 0:35,12,72.1,11,69.2,5,62.7,28,69.3,3,100,1
1/15/2018 0:40,12,72,17,69.4,3,62.7,32,69.7,3,100,1
1/15/2018 0:45,11,71.9,13,69.5,1,62.8,25,70.3,3,100,1
1/15/2018 0:50,8,71.8,13,69.5,6,62.7,27,68.7,3,100,1
1/15/2018 0:55,13,71.7,6,69.5,7,62.7,26,68.8,3,100,1
1/15/2018 1:00,6,71.7,10,69.6,2,62.7,18,69.5,3,100,1
1/15/2018 1:05,7,72,6,69.7,2,62.8,15,69.9,3,100,1
1/15/2018 1:10,13,72,8,69.8,3,62.8,24,70.1,3,100,1
1/15/2018 1:15,6,71.5,5,69.5,2,62.6,13,69.4,3,100,1
1/15/2018 1:20,13,71.1,8,69.6,3,62.5,24,69.5,3,100,1
1/15/2018 1:25,15,71.3,8,69.7,1,62.5,24,70.4,3,100,1
1/15/2018 1:30,10,71.5,4,69.7,0,62.5,14,71,3,100,1
1/15/2018 1:35,4,71.7,9,69.7,1,62.7,14,69.8,3,100,1
1/15/2018 1:40,11,69.4,12,69.7,3,62.8,26,68.8,3,100,1
1/15/2018 1:45,2,70.6,11,69.5,1,62.5,14,69.2,3,100,1
1/15/2018 1:50,9,71.2,5,69.6,1,62.5,15,70.1,3,100,1
1/15/2018 1:55,6,71.1,8,69.5,2,62.4,16,69.2,3,100,1
1/15/2018 2:00,7,71.5,6,69.5,1,62.5,14,70,3,100,1
1/15/2018 2:05,3,71.7,4,69.6,1,62.5,8,69.5,3,100,1
1/15/2018 2:10,7,71.9,7,69.7,1,62.6,15,70.3,3,100,1
1/15/2018 2:15,6,72,10,69.7,1,62.4,17,70.1,3,100,1
1/15/2018 2:20,8,72.1,1,69.7,2,62.6,11,70.2,3,100,1
1/15/2018 2:25,5,70.9,6,69.6,4,62.7,15,68.2,3,100,1
1/15/2018 2:30,3,71.4,5,69.6,1,62.6,9,69.4,3,100,1
1/15/2018 2:35,12,71.7,5,69.5,3,62.5,20,69.8,3,100,1
1/15/2018 2:40,5,71.8,4,69.4,4,62.5,13,68.2,3,100,1
1/15/2018 2:45,6,71.9,6,69.2,3,62.6,15,69,3,100,1
1/15/2018 2:50,6,71.9,7,69.4,3,62.7,16,69.1,3,100,1
1/15/2018 2:55,9,72,16,67.6,8,62.6,33,67.6,3,100,1
1/15/2018 3:00,4,71.7,11,68.8,7,62.4,22,67.3,3,100,1
1/15/2018 3:05,9,70.5,6,68.6,6,62.6,21,67.7,3,100,1
1/15/2018 3:10,3,71.3,7,69.2,2,62.6,12,68.6,3,100,1
1/15/2018 3:15,3,71.4,5,69.4,4,62.8,12,67.7,3,100,1
1/15/2018 3:20,4,71.6,8,69.5,7,62.7,19,67.4,3,100,1
1/15/2018 3:25,5,71.8,8,69.6,8,62.7,21,67.5,3,100,1
1/15/2018 3:30,7,71.8,10,69.6,4,62.7,21,69,3,100,1
1/15/2018 3:35,10,71.9,16,69.5,8,62.8,34,68.6,3,100,1
1/15/2018 3:40,8,71.7,7,69.7,6,62.7,21,68.5,3,100,1
1/15/2018 3:45,7,71.8,10,69.2,2,62.6,19,69.5,3,100,1
1/15/2018 3:50,4,71.2,14,69.5,7,62.5,25,67.8,3,100,1
1/15/2018 3:55,7,70.4,13,68,11,62.6,31,66.6,3,100,1
1/15/2018 4:00,3,70.6,12,67.6,6,62.4,21,66.5,3,100,1
1/15/2018 4:05,4,71.3,16,67.4,12,62.5,32,66,3,100,1
1/15/2018 4:10,2,71.7,23,68.5,11,62.4,36,66.8,3,100,1
1/15/2018 4:15,11,72,21,69.1,12,62.4,44,68,3,100,1
1/15/2018 4:20,9,72.1,23,69.4,21,62,53,66.9,3,100,1
1/15/2018 4:25,8,72.1,22,69.4,18,62,48,67.1,3,100,1
1/15/2018 4:30,10,72.1,28,69.3,26,62.5,64,67,3,100,1
1/15/2018 4:35,15,72,22,69.9,20,62,57,67.7,3,100,1
1/15/2018 4:40,17,70.2,36,67.4,31,62.4,84,66.1,3,100,1
1/15/2018 4:45,13,71.5,29,69,35,62.1,77,66.3,3,100,1
1/15/2018 4:50,13,71.8,23,69.5,24,62.2,60,67.1,3,100,1
1/15/2018 4:55,10,71.9,21,68.2,28,62,59,65.9,3,100,1
1/15/2018 5:00,13,72.1,26,68.4,31,61.9,70,66.2,3,100,1
1/15/2018 5:05,18,72.3,32,65.3,29,61.9,79,65.6,3,100,1
1/15/2018 5:10,27,67.1,28,66.7,39,61.8,94,64.8,3,100,1
1/15/2018 5:15,15,69.5,29,66.4,40,61.3,84,64.5,3,100,1
1/15/2018 5:20,20,71.3,47,67.9,38,62.2,105,66.5,3,100,1
1/15/2018 5:25,10,71.7,25,68.5,40,62.2,75,65.6,3,100,1
1/15/2018 5:30,12,71.4,42,69.1,47,61.9,101,66,3,100,1
1/15/2018 5:35,26,68.5,44,70.6,46,62.8,116,67,3,100,1
1/15/2018 5:40,26,71.1,40,69.5,53,60.3,119,65.8,3,100,1
1/15/2018 5:45,23,70.2,42,67.3,57,59.6,122,64.2,3,100,1
1/15/2018 5:50,21,70.3,58,68.7,51,61.5,130,66.1,3,100,1
1/15/2018 5:55,18,69.5,43,69,40,62,101,66.3,3,100,1
1/15/2018 6:00,28,71.2,36,67,43,62.4,107,66.3,3,100,1
1/15/2018 6:05,24,71.9,41,60.8,52,60.5,117,62.9,3,100,1
1/15/2018 6:10,27,71.2,44,63.1,55,57.9,126,62.6,3,100,1
1/15/2018 6:15,21,70.8,45,61.5,54,59.2,120,62.1,3,100,1
1/15/2018 6:20,28,71.9,53,64.2,66,59.7,147,63.6,3,100,1
1/15/2018 6:25,22,70.9,50,63,53,59.6,125,62.9,3,100,1
1/15/2018 6:30,23,71.7,44,63.3,56,60.9,123,63.8,3,100,1
1/15/2018 6:35,25,72.5,33,65.5,56,60.6,114,64.6,3,100,1
1/15/2018 6:40,36,70.8,47,64.3,49,61.5,132,65,3,100,1
1/15/2018 6:45,39,69.1,53,64.6,78,60.6,170,63.8,3,100,1
1/15/2018 6:50,32,70.4,43,63.9,49,61.2,124,64.5,3,100,1
1/15/2018 6:55,30,69.5,48,65.9,52,59.7,130,64.3,3,100,1
1/15/2018 7:00,21,70.7,41,66.1,53,61.2,115,64.7,3,100,1
1/15/2018 7:05,32,66.7,52,65,65,59.2,149,62.8,3,100,1
1/15/2018 7:10,36,67.4,42,66.1,46,60.7,124,64.5,3,100,1
1/15/2018 7:15,37,69,46,64,57,61.2,140,64.2,3,100,1
1/15/2018 7:20,32,68.3,51,64.3,57,58.6,140,62.9,3,100,1
1/15/2018 7:25,31,67.6,57,62.5,65,59.1,153,62.1,3,100,1
1/15/2018 7:30,27,69.7,64,64,68,59.9,159,63.2,3,100,1
1/15/2018 7:35,31,68.7,54,64.2,61,61.2,146,63.9,3,100,1
1/15/2018 7:40,44,64.9,64,65.6,73,62,181,64,3,100,1
1/15/2018 7:45,47,68.8,60,67.3,68,62.8,175,66,3,100,1
1/15/2018 7:50,47,64.1,59,66.9,66,61.9,172,64.2,3,100,1
1/15/2018 7:55,40,66.8,57,65.5,57,60.9,154,64.1,3,100,1
1/15/2018 8:00,43,65.8,70,66.5,55,59.7,168,64.1,3,100,1
1/15/2018 8:05,46,62.1,56,66.6,63,59.4,165,62.6,3,100,1
1/15/2018 8:10,36,65.2,50,68,43,61.5,129,65.1,3,100,1
1/15/2018 8:15,50,65.5,69,64.8,86,61.2,205,63.5,3,100,1
1/15/2018 8:20,60,61.9,73,67.1,63,60.9,196,63.5,3,100,1
1/15/2018 8:25,52,64,62,66.3,75,60.3,189,63.3,3,100,1
1/15/2018 8:30,51,67.2,66,66.4,81,61.2,198,64.5,3,100,1
1/15/2018 8:35,42,68.7,52,66.3,55,62.2,149,65.5,3,100,1
1/15/2018 8:40,51,67.9,69,67.8,59,62.3,179,66,3,100,1
1/15/2018 8:45,63,65.9,68,67.2,70,62.4,201,65.1,3,100,1
1/15/2018 8:50,39,64.7,66,64.9,50,62.8,155,64.2,3,100,1
1/15/2018 8:55,64,63.1,70,64.8,58,62.6,192,63.6,3,100,1
1/15/2018 9:00,62,63.9,61,64.4,57,64.3,180,64.2,3,100,1
1/15/2018 9:05,63,64.4,61,66.4,70,62,194,64.2,3,100,1
1/15/2018 9:10,49,64.9,52,66.7,50,59.7,151,63.8,3,100,1
1/15/2018 9:15,47,62.8,65,65.2,40,60.9,152,63.3,3,100,1
1/15/2018 9:20,48,63.7,63,68,44,61.4,155,64.8,3,100,1
1/15/2018 9:25,46,64.1,55,68.3,44,62.8,145,65.3,3,100,1
1/15/2018 9:30,42,66.1,58,65.9,58,62.5,158,64.7,3,100,1
1/15/2018 9:35,65,64.6,66,61.4,60,60.9,191,62.3,3,100,1
1/15/2018 9:40,47,57.6,66,61,54,59.3,167,59.5,3,100,1
1/15/2018 9:45,56,57.4,61,61.8,54,58.1,171,59.2,3,100,1
1/15/2018 9:50,50,55.2,74,60.7,63,58.9,187,58.6,3,100,1
1/15/2018 9:55,57,58.2,65,64.2,46,59.6,168,60.9,3,100,1
1/15/2018 10:00,66,57.4,82,64.9,57,59.6,205,61,3,100,1
1/15/2018 10:05,60,62.2,76,65.3,50,61,186,63.1,3,100,1
1/15/2018 10:10,46,57.3,73,66.8,52,61.5,171,62.6,3,100,1
1/15/2018 10:15,57,62.3,67,64.6,56,60.7,180,62.7,3,100,1
1/15/2018 10:20,57,62.7,66,64.4,58,60.9,181,62.7,3,100,1
1/15/2018 10:25,52,59.2,78,62.7,54,60.3,184,61,3,100,1
1/15/2018 10:30,58,61.7,80,61.8,62,60.8,200,61.5,3,100,1
1/15/2018 10:35,46,62.4,67,62.8,46,60.2,159,61.9,3,100,1
1/15/2018 10:40,69,58.9,93,62.4,62,58.1,224,60.1,3,100,1
1/15/2018 10:45,43,60.6,64,60.4,54,58.7,161,59.9,3,100,1
1/15/2018 10:50,63,59,82,63.2,52,59,197,60.7,3,100,1
1/15/2018 10:55,53,60.7,79,62.5,58,61.4,190,61.7,3,100,1
1/15/2018 11:00,52,63.2,59,59.6,39,61.6,150,61.4,3,100,1
1/15/2018 11:05,53,64,62,62.4,45,61.1,160,62.6,3,100,1
1/15/2018 11:10,53,60.5,63,61.1,52,59.9,168,60.5,3,100,1
1/15/2018 11:15,53,60.8,64,62.7,38,59.5,155,61.3,3,100,1
1/15/2018 11:20,70,56.3,92,61.7,48,59.9,210,59.5,3,100,1
1/15/2018 11:25,48,58.5,75,62.4,54,58.7,177,60.2,3,100,1
1/15/2018 11:30,59,58.8,72,61.2,59,60.6,190,60.3,3,100,1
1/15/2018 11:35,62,61.9,84,60.4,51,59.7,197,60.7,3,100,1
1/15/2018 11:40,62,64.1,77,63.2,57,58.1,196,62,3,100,1
1/15/2018 11:45,49,61.4,63,62,58,58.7,170,60.7,3,100,1
1/15/2018 11:50,58,64.5,69,63.6,48,60.7,175,63.1,3,100,1
1/15/2018 11:55,56,64.2,68,63.9,47,60.7,171,63.1,3,100,1
1/15/2018 12:00,68,63.6,80,64.3,56,58.8,204,62.6,3,100,1
1/15/2018 12:05,61,63.5,75,64.2,55,59.2,191,62.5,3,100,1
1/15/2018 12:10,66,61.2,69,61.1,69,58.4,204,60.2,3,100,1
1/15/2018 12:15,46,60.8,60,62.6,48,56.7,154,60.2,3,100,1
1/15/2018 12:20,52,64.6,79,59.9,65,57.5,196,60.4,3,100,1
1/15/2018 12:25,61,62.7,69,59.5,77,57.9,207,59.8,3,100,1
1/15/2018 12:30,51,64.1,69,59.4,55,59.8,175,60.9,3,100,1
1/15/2018 12:35,53,62.2,77,60,48,60.1,178,60.7,3,100,1
1/15/2018 12:40,38,64.8,69,59.6,57,59.8,164,60.9,3,100,1
1/15/2018 12:45,60,63.6,76,61.6,54,58.7,190,61.4,3,100,1
1/15/2018 12:50,58,63.2,80,63.5,56,61.1,194,62.7,3,100,1
1/15/2018 12:55,70,59.4,76,63.1,74,60.9,220,61.2,3,100,1
1/15/2018 13:00,66,62,73,63.2,52,61.7,191,62.4,3,100,1
1/15/2018 13:05,71,65.6,67,64.3,47,60.6,185,63.9,3,100,1
1/15/2018 13:10,62,64.2,72,64.7,51,62.5,185,63.9,3,100,1
1/15/2018 13:15,48,66.6,59,65.3,49,61.6,156,64.5,3,100,1
1/15/2018 13:20,62,65.5,69,65.4,59,60.5,190,63.9,3,100,1
1/15/2018 13:25,52,67.1,64,61.6,47,59.7,163,62.8,3,100,1
1/15/2018 13:30,52,67.4,73,63,43,60.3,168,63.7,3,100,1
1/15/2018 13:35,49,67.6,64,62,49,58.5,162,62.6,3,100,1
1/15/2018 13:40,66,64.5,64,61.3,43,60,173,62.2,3,100,1
1/15/2018 13:45,50,66.8,64,64.9,37,60.5,151,64.5,3,100,1
1/15/2018 13:50,59,65,70,64.6,60,60.5,189,63.4,3,100,1
1/15/2018 13:55,59,62.8,65,64.5,38,60,162,62.8,3,100,1
1/15/2018 14:00,52,66.3,62,62.1,49,60.1,163,62.8,3,100,1
1/15/2018 14:05,60,66,64,61.8,42,61.1,166,63.1,3,100,1
1/15/2018 14:10,62,66.8,88,62.1,56,60.6,206,63.1,3,100,1
1/15/2018 14:15,43,59.2,54,63.7,43,61.4,140,61.6,3,100,1
1/15/2018 14:20,58,60.1,61,61.8,48,60.6,167,60.9,3,100,1
1/15/2018 14:25,66,62.2,64,60.8,58,60.3,188,61.1,3,100,1
1/15/2018 14:30,62,62,54,63.4,52,61.3,168,62.2,3,100,1
1/15/2018 14:35,43,64.2,50,63,24,61.7,117,63.2,3,100,1
1/15/2018 14:40,61,62.9,59,60.4,57,59.1,177,60.8,3,100,1
1/15/2018 14:45,40,66.8,56,62.1,33,61.4,129,63.4,3,100,1
1/15/2018 14:50,39,68.4,57,62.4,38,60.9,134,63.7,3,100,1
1/15/2018 14:55,41,66.6,64,64.9,37,60.9,142,64.3,3,100,1
1/15/2018 15:00,50,62.6,57,64,48,62.1,155,63,3,100,1
1/15/2018 15:05,48,62.6,82,63.7,60,63.2,190,63.3,3,100,1
1/15/2018 15:10,72,65.9,74,66.2,43,63.7,189,65.5,3,100,1
1/15/2018 15:15,41,65.4,57,65.3,51,63.8,149,64.8,3,100,1
1/15/2018 15:20,58,65.9,77,63.6,35,63,170,64.3,3,100,1
1/15/2018 15:25,63,63.4,68,64.9,46,63.2,177,63.9,3,100,1
1/15/2018 15:30,56,62.7,77,65.6,56,62.5,189,63.8,3,100,1
1/15/2018 15:35,61,64.2,73,63.3,59,61.4,193,63,3,100,1
1/15/2018 15:40,58,64.3,74,63.7,65,62,197,63.3,3,100,1
1/15/2018 15:45,50,67.3,61,63.9,39,62.9,150,64.8,3,100,1
1/15/2018 15:50,63,66.7,74,63.1,66,61.7,203,63.8,3,100,1
1/15/2018 15:55,48,68.2,58,65.2,41,60.3,147,64.8,3,100,1
1/15/2018 16:00,71,69.3,75,64.4,59,61,205,65.1,3,100,1
1/15/2018 16:05,64,66.4,56,65.3,52,60.4,172,64.2,3,100,1
1/15/2018 16:10,61,67.3,82,66,66,60.6,209,64.7,3,100,1
1/15/2018 16:15,70,63.4,92,66.1,47,61.2,209,64.1,3,100,1
1/15/2018 16:20,55,64.7,81,65.9,74,61,210,63.9,3,100,1
1/15/2018 16:25,46,63.9,66,66.2,51,62.8,163,64.5,3,100,1
1/15/2018 16:30,74,66,69,65.3,51,62.3,194,64.8,3,100,1
1/15/2018 16:35,46,65.2,68,65.6,59,57,173,62.6,3,100,1
1/15/2018 16:40,64,65.6,76,65.6,59,59.3,199,63.7,3,100,1
1/15/2018 16:45,55,65.5,68,65.3,52,60.4,175,63.9,3,100,1
1/15/2018 16:50,66,67,71,65,53,58.4,190,63.9,3,100,1
1/15/2018 16:55,63,69,72,65.7,54,59.1,189,64.9,3,100,1
1/15/2018 17:00,48,66.4,66,67,58,61.5,172,65,3,100,1
1/15/2018 17:05,57,68.3,68,68.5,48,61.5,173,66.5,3,100,1
1/15/2018 17:10,54,69.4,73,67.3,65,62.4,192,66.2,3,100,1
1/15/2018 17:15,51,68.2,69,68.3,57,63.2,177,66.6,3,100,1
1/15/2018 17:20,56,67.9,68,66.2,34,63.1,158,66.1,3,100,1
1/15/2018 17:25,44,68.4,68,65.5,59,62.5,171,65.2,3,100,1
1/15/2018 17:30,45,67.8,73,64.9,61,61.3,179,64.4,3,100,1
1/15/2018 17:35,49,66.8,51,66.8,43,60.6,143,64.9,3,100,1
1/15/2018 17:40,53,67.3,75,67.2,32,61.1,160,66,3,100,1
1/15/2018 17:45,47,68.5,62,66.7,51,60.1,160,65.1,3,100,1
1/15/2018 17:50,62,64.7,77,65.7,52,59.5,191,63.7,3,100,1
1/15/2018 17:55,59,65.5,74,65.2,47,58.5,180,63.5,3,100,1
1/15/2018 18:00,62,67.3,70,64.9,47,60.6,179,64.6,3,100,1
