5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed,Holiday
12/11/2017 0:00,7,71.9,15,69.7,7,62.7,29,68.5,3,100,0
12/11/2017 0:05,23,72.2,19,69.8,10,62.6,52,69.5,3,100,0
12/11/2017 0:10,12,72.2,15,69.9,6,62.8,33,69.4,3,100,0
12/11/2017 0:15,10,72.2,14,69.6,4,62.8,28,69.6,3,100,0
12/11/2017 0:20,12,72.2,13,69.8,6,62.8,31,69.4,3,100,0
12/11/2017 0:25,9,72.2,10,69.7,1,62.5,20,70.5,3,100,0
12/11/2017 0:30,8,72.1,9,69.6,6,62.6,23,68.6,3,100,0
12/11/2017 0:35,8,72,9,69.7,3,62.4,20,69.5,3,100,0
12/11/2017 0:40,6,72,7,69.9,1,62.5,14,70.3,3,100,0
12/11/2017 0:45,13,72,11,69.9,6,62.7,30,69.4,3,100,0
12/11/2017 0:50,11,72,4,69.7,2,62.8,17,70.4,3,100,0
12/11/2017 0:55,9,72.1,4,69.7,3,62.7,16,69.7,3,100,0
12/11/2017 1:00,4,72.2,6,69.7,4,62.6,14,68.4,3,100,0
12/11/2017 1:05,9,71.8,10,69.9,2,62.6,21,70,3,100,0
12/11/2017 1:10,6,71.8,10,69.8,3,62.6,19,69.3,3,100,0
12/11/2017 1:15,6,71.8,1,69.8,2,62.5,9,69.5,3,100,0
12/11/2017 1:20,8,72.1,8,69.8,0,62.5,16,70.9,3,100,0
12/11/2017 1:25,8,72.1,9,69.9,4,62.7,21,69.4,3,100,0
12/11/2017 1:30,8,71.8,11,69.6,5,62.8,24,68.9,3,100,0
12/11/2017 1:35,4,71.7,5,69.8,2,62.8,11,69.2,3,100,0
12/11/2017 1:40,4,71.9,5,69.8,1,62.8,10,69.9,3,100,0
12/11/2017 1:45,4,70.8,9,69.9,2,62.2,15,69.1,3,100,0
12/11/2017 1:50,2,71.5,5,69.8,1,62.5,8,69.3,3,100,0
12/11/2017 1:55,4,71.9,8,69.1,0,62.5,12,70,3,100,0
12/11/2017 2:00,2,72.1,5,69.5,0,62.5,7,70.2,3,100,0
12/11/2017 2:05,9,71.5,6,69.8,1,62.4,16,70.3,3,100,0
12/11/2017 2:10,4,71.9,6,69.8,2,61.7,12,69.1,3,100,0
12/11/2017 2:15,9,70.6,3,69.8,2,62.2,14,69.2,3,100,0
12/11/2017 2:20,0,70.6,4,69.8,1,62.5,5,68.3,3,100,0
12/11/2017 2:25,8,71.3,6,69.8,2,62.6,16,69.6,3,100,0
