5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed,Holiday
11/06/2017 0:00,17,71.9,21,69.7,6,62.7,44,69.6,3,0,0
11/06/2017 0:05,17,71.9,18,69.7,8,62.6,43,69.2,3,0,0
11/06/2017 0:10,14,72,17,69.8,6,62.6,37,69.5,3,0,0
11/06/2017 0:15,13,72.3,17,69.7,7,62.6,37,69.3,3,0,0
11/06/2017 0:20,14,72.1,14,69.7,7,62.6,35,69.2,3,0,0
11/06/2017 0:25,12,72.1,13,69.5,5,62.7,30,69.4,3,0,0
11/06/2017 0:30,8,72.1,14,69.7,4,62.7,26,69.4,3,0,0
11/06/2017 0:35,13,72.2,8,69.5,2,62.7,23,70.4,3,0,0
11/06/2017 0:40,12,72.2,11,69.7,2,62.6,25,70.3,3,0,0
11/06/2017 0:45,10,71.5,12,69.8,3,62.6,25,69.6,3,0,0
11/06/2017 0:50,6,71,13,69.2,3,62.6,22,68.8,3,0,0
11/06/2017 0:55,10,71.6,11,69.6,2,62.6,23,69.9,3,0,0
11/06/2017 1:00,11,71.6,11,69.4,2,62.6,24,69.8,3,0,0
11/06/2017 1:05,7,71.2,7,69.4,2,62.7,16,69.4,3,0,0
11/06/2017 1:10,8,71.5,6,69.6,2,62.6,16,69.7,3,0,0
11/06/2017 1:15,11,71.7,7,69.7,3,62.7,21,69.7,3,0,0
11/06/2017 1:20,10,71.9,10,69.7,2,62.6,22,70.1,3,0,0
11/06/2017 1:25,9,71.7,7,69.7,2,62.6,18,69.9,3,0,0
11/06/2017 1:30,7,71.8,7,69.8,2,62.6,16,69.8,3,0,0
11/06/2017 1:35,7,71.8,4,69.8,2,62.7,13,69.8,3,0,0
11/06/2017 1:40,7,71.9,8,69.7,3,62.6,18,69.4,3,0,0
11/06/2017 1:45,5,71.6,6,69.7,1,62.5,12,69.9,3,0,0
11/06/2017 1:50,4,71.9,5,69.7,2,62.5,11,69.2,3,0,0
11/06/2017 1:55,5,71.7,5,69.7,1,62.6,11,70,3,0,0
11/06/2017 2:00,6,72,6,69.5,3,62.7,15,69.1,3,0,0
11/06/2017 2:05,6,72,5,69.4,2,62.6,13,69.6,3,0,0
11/06/2017 2:10,6,71.9,5,69.6,2,62.7,13,69.6,3,0,0
11/06/2017 2:15,4,72.1,5,69.7,2,62.6,11,69.3,3,0,0
11/06/2017 2:20,5,71.8,4,69.8,2,62.4,11,69.4,3,0,0
11/06/2017 2:25,7,72,8,69.5,1,62.5,16,70.2,3,0,0
11/06/2017 2:30,8,72.1,8,69.5,3,62.6,19,69.5,3,0,0
11/06/2017 2:35,5,72.2,11,69.4,5,62.6,21,68.4,3,0,0
11/06/2017 2:40,4,71.9,8,69.7,4,62.7,16,68.5,3,0,0
11/06/2017 2:45,7,71.9,10,69.6,2,62.8,19,69.7,3,0,0
11/06/2017 2:50,7,72.1,9,69.4,7,62.8,23,68.2,3,0,0
11/06/2017 2:55,10,71.6,7,69.5,4,62.9,21,69.2,3,0,0
11/06/2017 3:00,5,71.8,10,69.6,5,62.8,20,68.5,3,0,0
11/06/2017 3:05,5,71.7,7,69.7,7,62.6,19,67.6,3,0,0
11/06/2017 3:10,6,71.8,7,69.6,5,62.6,18,68.4,3,0,0
11/06/2017 3:15,6,71.7,9,69.5,6,62.9,21,68.2,3,0,0
11/06/2017 3:20,6,71.6,10,69.6,6,62.7,22,68.3,3,0,0
11/06/2017 3:25,6,71.9,11,69.7,5,62.8,22,68.7,3,0,0
11/06/2017 3:30,8,71.8,14,69.5,10,62.8,32,68,3,0,0
