5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed,Holiday
12/18/2017 0:00,18,71.9,11,69.7,10,62.7,39,68.9,1,100,0
12/18/2017 0:05,14,72.3,14,69.8,3,62.7,31,70.2,1,100,0
12/18/2017 0:10,14,72.3,9,69.8,3,62.7,26,70.3,1,100,0
12/18/2017 0:15,19,72.4,7,69.9,4,62.7,30,70.5,1,100,0
12/18/2017 0:20,9,72.2,13,69,3,62.6,25,69.4,1,100,0
12/18/2017 0:25,10,72.1,10,69.3,2,62.7,22,70,1,100,0
12/18/2017 0:30,12,72.1,18,69.4,2,62.7,32,70,1,100,0
12/18/2017 0:35,13,72.1,11,69.3,1,62.8,25,70.5,1,100,0
12/18/2017 0:40,7,72,14,69.7,3,62.8,24,69.5,1,100,0
12/18/2017 0:45,11,71.6,4,69.8,2,62.8,17,70.1,1,100,0
12/18/2017 0:50,12,72,4,69.7,0,62.8,16,71.4,1,100,0
12/18/2017 0:55,17,72.4,11,69.7,1,62.9,29,71,1,100,0
12/18/2017 1:00,12,72.6,6,69.7,1,62.9,19,71.2,1,100,0
12/18/2017 1:05,9,72.5,5,69.8,2,62.8,16,70.4,1,100,0
12/18/2017 1:10,11,72.4,12,69.8,5,62.8,28,69.6,1,100,0
12/18/2017 1:15,10,72.3,3,69.8,2,62.8,15,70.5,1,100,0
12/18/2017 1:20,10,72.1,4,69.8,0,62.8,14,71.4,1,100,0
12/18/2017 1:25,11,72,6,69.9,1,62.6,18,70.8,1,100,0
12/18/2017 1:30,6,72,7,69.8,1,62.4,14,70.2,1,100,0
12/18/2017 1:35,7,72.1,7,69.9,1,62.6,15,70.4,1,100,0
12/18/2017 1:40,8,72.1,3,69.8,3,62.7,14,69.6,1,100,0
12/18/2017 1:45,12,71.5,6,69.7,0,62.7,18,70.9,1,100,0
12/18/2017 1:50,6,72,6,69.7,1,62.8,13,70.2,1,100,0
12/18/2017 1:55,2,72.1,5,69.6,0,62.8,7,70.3,1,100,0
12/18/2017 2:00,7,72.1,6,69.7,1,62.6,14,70.4,1,100,0
12/18/2017 2:05,4,71.9,5,69.8,0,62.6,9,70.7,1,100,0
12/18/2017 2:10,3,72.1,5,69.8,1,62.6,9,69.8,1,100,0
12/18/2017 2:15,9,72.4,6,69.9,1,62.4,16,70.8,1,100,0
12/18/2017 2:20,6,72.3,4,69.8,4,62.7,14,68.8,1,100,0
12/18/2017 2:25,5,72.3,6,69.8,2,62.7,13,69.7,1,100,0
12/18/2017 2:30,5,71.7,6,69.9,1,62.5,12,70,1,100,0
12/18/2017 2:35,8,70.5,4,69.8,3,61.9,15,68.6,1,100,0
12/18/2017 2:40,6,71.3,7,69.8,2,62.3,15,69.4,1,100,0
12/18/2017 2:45,8,71.8,18,70.2,8,62.5,34,68.8,1,100,0
12/18/2017 2:50,6,72,13,69.4,2,62.6,21,69.5,1,100,0
12/18/2017 2:55,7,71.9,11,69.5,4,62.6,22,69,1,100,0
12/18/2017 3:00,10,72.2,9,69.2,3,62.6,22,69.7,1,100,0
12/18/2017 3:05,8,71.8,6,69.5,4,62.7,18,69,1,100,0
12/18/2017 3:10,6,71.8,11,69,7,62.9,24,67.9,1,100,0
12/18/2017 3:15,7,71.9,7,69.5,4,62.9,18,69,1,100,0
12/18/2017 3:20,7,72.2,10,69.7,10,62.9,27,67.8,1,100,0
12/18/2017 3:25,7,70.9,11,69.2,7,62.6,25,67.8,1,100,0
12/18/2017 3:30,6,71.2,8,68.9,11,62.7,25,66.7,1,100,0
12/18/2017 3:35,8,71.7,13,68.8,15,63,36,67,1,100,0
12/18/2017 3:40,14,71.3,16,69.3,11,62.8,41,68.2,1,100,0
12/18/2017 3:45,7,71.8,13,69.7,12,62.7,32,67.5,1,100,0
12/18/2017 3:50,9,71,12,69.8,15,63,36,67.3,1,100,0
12/18/2017 3:55,11,72,20,70.1,14,62.8,45,68.3,1,100,0
12/18/2017 4:00,7,72.1,16,70.2,13,62.7,36,67.9,3,100,0
12/18/2017 4:05,15,72.3,22,70.2,12,62.3,49,68.9,3,100,0
12/18/2017 4:10,15,72.1,19,69.9,21,62,55,67.5,3,100,0
12/18/2017 4:15,9,71.6,23,69.2,19,62.4,51,67.1,3,100,0
12/18/2017 4:20,9,72.1,26,69.9,30,62.5,65,66.8,3,100,0
12/18/2017 4:25,19,69.9,29,69.3,26,61.9,74,66.9,3,100,0
12/18/2017 4:30,12,70.7,30,69.1,23,62.4,65,67,3,100,0
12/18/2017 4:35,10,70.7,31,67.8,41,61.6,82,65.1,3,100,0
12/18/2017 4:40,20,71.8,32,69.3,38,63.5,90,67.4,3,100,0
12/18/2017 4:45,18,71.9,37,69,46,65,101,67.7,3,100,0
12/18/2017 4:50,20,72.2,47,71.2,28,64.1,95,69.3,3,100,0
12/18/2017 4:55,29,72.4,42,71.9,44,62.4,115,68.4,3,100,0
12/18/2017 5:00,19,72.6,46,69.1,58,63,123,66.8,3,100,0
12/18/2017 5:05,23,70.7,46,70.3,64,64.4,133,67.5,3,100,0
12/18/2017 5:10,13,71.5,41,65.5,56,65,110,66,3,100,0
12/18/2017 5:15,28,72.2,64,64.4,87,64.2,179,65.5,3,100,0
12/18/2017 5:20,24,72.4,64,66.1,71,64.3,159,66.2,3,100,0
12/18/2017 5:25,32,73,62,69.4,77,64.6,171,67.9,3,100,0
12/18/2017 5:30,33,72.9,72,68.7,102,63.5,207,66.8,3,100,0
12/18/2017 5:35,25,70.9,58,67.6,89,63.6,172,66,3,100,0
12/18/2017 5:40,29,72.3,61,70.5,85,64.6,175,67.9,3,100,0
12/18/2017 5:45,46,70.2,73,71.5,103,64.9,222,68.2,3,100,0
12/18/2017 5:50,46,71,70,70.3,94,64.9,210,68,3,100,0
12/18/2017 5:55,36,67.4,55,70.7,83,64.1,174,66.9,3,100,0
12/18/2017 6:00,38,67.8,65,69.5,75,62.5,178,66.2,3,100,0
12/18/2017 6:05,35,69.9,46,69.6,79,60.5,160,65.2,3,100,0
12/18/2017 6:10,42,68.6,72,67.8,97,60.2,211,64.5,3,100,0
12/18/2017 6:15,31,71.3,56,66.8,72,59.6,159,64.4,3,100,0
12/18/2017 6:20,36,73,75,67.4,110,58.8,221,64,3,100,0
12/18/2017 6:25,39,73,63,68.4,95,60.4,197,65.5,3,100,0
12/18/2017 6:30,36,73.4,55,69.3,91,60.6,182,65.8,3,100,0
12/18/2017 6:35,43,72.2,70,68,99,59.8,212,65,3,100,0
12/18/2017 6:40,42,73.1,60,70.3,81,59.1,183,66,3,100,0
12/18/2017 6:45,45,70.9,75,67.8,127,57.6,247,63.1,3,100,0
12/18/2017 6:50,53,68.2,70,67.4,102,58.7,225,63.6,3,100,0
12/18/2017 6:55,48,71.9,70,69.4,82,60.8,200,66.5,3,100,0
12/18/2017 7:00,46,71,70,69.2,83,58.6,199,65.2,3,100,0
12/18/2017 7:05,55,67.1,73,67.6,94,59.3,222,64,3,100,0
12/18/2017 7:10,60,65.8,78,64.6,132,59.5,270,62.4,3,100,0
12/18/2017 7:15,53,68.7,84,64.5,116,59.1,253,62.9,3,100,0
12/18/2017 7:20,56,64.7,99,65.3,126,58.4,281,62.1,3,100,0
12/18/2017 7:25,55,66.3,85,67.8,114,59.7,254,63.8,3,100,0
12/18/2017 7:30,53,66.3,95,67.4,105,59.4,253,63.8,3,100,0
12/18/2017 7:35,61,69.2,89,69.2,124,59.6,274,64.9,3,100,0
12/18/2017 7:40,66,70.4,77,68,105,58.2,248,64.5,3,100,0
12/18/2017 7:45,74,67.7,87,67.8,135,57.7,296,63.2,3,100,0
12/18/2017 7:50,74,70.9,97,68.6,117,59,288,65.3,3,100,0
12/18/2017 7:55,71,69.5,78,67.4,111,58.2,260,64,3,100,0
12/18/2017 8:00,60,70.6,88,68.3,105,57.8,253,64.5,3,100,0
12/18/2017 8:05,58,70.5,88,67.7,117,58.8,263,64.4,3,100,0
12/18/2017 8:10,68,63.2,91,62.8,137,56.3,296,59.9,3,100,0
12/18/2017 8:15,67,64,80,62.6,130,55.4,277,59.6,3,100,0
12/18/2017 8:20,70,67.1,81,65,100,55.6,251,61.8,3,100,0
12/18/2017 8:25,71,65,76,65.2,110,56.1,257,61.2,3,100,0
12/18/2017 8:30,70,66.4,80,61.6,109,55,259,60.1,3,100,0
12/18/2017 8:35,64,67.4,88,63.2,91,56,243,61.6,3,100,0
12/18/2017 8:40,77,65.8,72,65.8,91,56.9,240,62.4,3,100,0
12/18/2017 8:45,96,64,86,65.5,107,56.4,289,61.6,3,100,0
12/18/2017 8:50,80,66.1,74,66.1,107,56.9,261,62.3,3,100,0
12/18/2017 8:55,71,68.4,70,65.8,78,57.6,219,63.7,3,100,0
12/18/2017 9:00,68,66.7,78,65,95,58.3,241,62.8,3,100,0
12/18/2017 9:05,54,65.2,65,61.8,89,59.3,208,61.6,3,100,0
12/18/2017 9:10,67,65.4,67,63.7,83,61,217,63.2,3,100,0
12/18/2017 9:15,68,66.3,73,67.1,68,60.2,209,64.6,3,100,0
12/18/2017 9:20,61,65,62,62.9,64,60.7,187,62.8,3,100,0
12/18/2017 9:25,63,64.3,73,61.4,77,60.6,213,62,3,100,0
12/18/2017 9:30,52,64.3,69,61.5,76,60,197,61.7,3,100,0
12/18/2017 9:35,62,62.8,80,64.3,73,58.9,215,62,3,100,0
12/18/2017 9:40,42,63,73,65.2,69,59.7,184,62.6,3,100,0
12/18/2017 9:45,59,65.4,71,66.4,61,59.2,191,63.8,3,100,0
12/18/2017 9:50,62,65.6,72,67.8,66,60.6,200,64.7,3,100,0
12/18/2017 9:55,68,67.7,67,67.2,85,60.4,220,64.7,3,100,0
12/18/2017 10:00,63,67.7,80,65.4,72,60.9,215,64.6,3,100,0
12/18/2017 10:05,53,68.8,55,65.8,67,61.4,175,65,3,100,0
