5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed,Holiday
12/04/2017 0:00,16,71.9,14,69.7,6,62.7,36,69.5,3,100,0
12/04/2017 0:05,18,70.9,16,69.7,7,62.6,41,69,3,100,0
12/04/2017 0:10,7,71.4,18,69.8,5,62.5,30,69,3,100,0
12/04/2017 0:15,7,70.2,5,69.7,4,62.5,16,68.1,3,100,0
12/04/2017 0:20,9,71.1,15,69.8,5,62.6,29,69,3,100,0
12/04/2017 0:25,16,71.6,12,69.7,3,62.6,31,70,3,100,0
12/04/2017 0:30,15,71.9,14,69.7,1,62.5,30,70.6,3,100,0
12/04/2017 0:35,12,72,9,69.8,3,62.2,24,70,3,100,0
12/04/2017 0:40,9,72,12,69,5,62.5,26,68.8,3,100,0
12/04/2017 0:45,17,72,8,69.4,1,62.5,26,70.8,3,100,0
12/04/2017 0:50,6,71.9,10,69.4,2,62.5,18,69.5,3,100,0
12/04/2017 0:55,10,72.1,9,69.5,0,62.5,19,70.9,3,100,0
12/04/2017 1:00,6,72,8,69.7,3,62.6,17,69.3,3,100,0
12/04/2017 1:05,10,71.4,5,69.7,2,62.7,17,69.9,3,100,0
12/04/2017 1:10,5,71.6,5,69.7,0,62.7,10,70.7,3,100,0
12/04/2017 1:15,7,71.9,8,69.7,4,62.8,19,69.1,3,100,0
12/04/2017 1:20,14,71,11,69.7,2,62.9,27,69.9,3,100,0
12/04/2017 1:25,2,71.3,6,69.7,3,63,11,68.2,3,100,0
12/04/2017 1:30,9,70.7,12,69.9,2,62.9,23,69.6,3,100,0
12/04/2017 1:35,5,71.3,6,69.9,5,62.8,16,68.1,3,100,0
12/04/2017 1:40,7,71.5,7,70,2,62.6,16,69.7,3,100,0
12/04/2017 1:45,8,71.8,6,69.9,0,62.6,14,71,3,100,0
12/04/2017 1:50,2,72,6,70,1,62.8,9,69.6,3,100,0
12/04/2017 1:55,6,71.8,8,69.5,5,62.9,19,68.5,3,100,0
12/04/2017 2:00,4,72,8,69.6,0,62.9,12,70.4,3,100,0
12/04/2017 2:05,7,71.6,5,69.6,4,62.6,16,68.7,3,100,0
12/04/2017 2:10,7,71.9,7,69.4,1,62.7,15,70.1,3,100,0
12/04/2017 2:15,6,72,3,69.7,1,62.4,10,70.3,3,100,0
12/04/2017 2:20,4,71.9,7,69.7,3,62.4,14,68.8,3,100,0
12/04/2017 2:25,5,71.5,10,69.4,2,62.5,17,69.2,3,100,0
12/04/2017 2:30,3,71.5,3,69.6,9,61.7,15,65.2,3,100,0
12/04/2017 2:35,3,71.8,8,69.7,2,62.3,13,69,3,100,0
12/04/2017 2:40,5,72,11,69.8,5,62.4,21,68.6,3,100,0
12/04/2017 2:45,5,72.1,15,69.2,1,62.5,21,69.6,3,100,0
12/04/2017 2:50,5,71.4,11,69.7,4,62.6,20,68.7,3,100,0
12/04/2017 2:55,7,71.8,6,69.2,5,62.6,18,68.4,3,100,0
12/04/2017 3:00,7,72.2,7,69.5,6,62.7,20,68.4,3,100,0
12/04/2017 3:05,7,71.1,9,69,11,62.4,27,66.9,3,100,0
12/04/2017 3:10,6,70.9,6,69.4,3,62.6,15,68.6,3,100,0
12/04/2017 3:15,6,71.3,7,69.5,7,62.6,20,67.6,3,100,0
12/04/2017 3:20,9,70.6,13,69.8,9,62.6,31,67.9,3,100,0
12/04/2017 3:25,9,69,11,69,6,62.8,26,67.6,3,100,0
12/04/2017 3:30,10,70.4,11,69.6,6,62.8,27,68.4,3,100,0
12/04/2017 3:35,8,71.4,11,69.8,6,62.8,25,68.6,3,100,0
12/04/2017 3:40,8,71.9,17,69.9,9,62.6,34,68.4,3,100,0
12/04/2017 3:45,13,72,21,69.9,11,62.6,45,68.7,3,100,0
12/04/2017 3:50,10,72.1,18,70.1,15,62.7,43,68,3,100,0
12/04/2017 3:55,12,72.2,23,69.7,9,62.5,44,68.9,3,100,0
12/04/2017 4:00,9,72.1,19,69.8,17,62.8,45,67.6,3,100,0
12/04/2017 4:05,6,72.1,17,69.9,15,62.5,38,67.3,3,100,0
12/04/2017 4:10,11,72.3,19,69.7,18,62.4,48,67.6,3,100,0
12/04/2017 4:15,12,72.3,27,66.9,27,61.3,66,65.6,3,100,0
12/04/2017 4:20,11,72.3,32,66.7,19,62,62,66.3,3,100,0
12/04/2017 4:25,13,71.4,29,68.8,27,61.9,69,66.6,3,100,0
12/04/2017 4:30,14,71.2,39,70.3,29,62.2,82,67.6,3,100,0
12/04/2017 4:35,13,71.6,34,70.7,21,62.6,68,68.4,3,100,0
