5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed,Holiday
1/01/2018 0:00,15,71.9,13,69.7,3,62.7,31,70.1,3,100,1
1/01/2018 0:05,12,72.1,12,69.6,1,62.7,25,70.5,3,100,1
1/01/2018 0:10,7,71.3,14,69.8,4,62.7,25,69.1,3,100,1
1/01/2018 0:15,18,71.6,16,68.9,4,62.8,38,69.5,3,100,1
1/01/2018 0:20,25,71.6,25,69.2,6,62.7,56,69.6,3,100,1
1/01/2018 0:25,25,71.7,24,69.7,8,62.8,57,69.6,3,100,1
1/01/2018 0:30,24,70.3,30,70,11,62.8,65,68.9,3,100,1
1/01/2018 0:35,33,71.4,30,69.1,11,62.7,74,69.2,3,100,1
1/01/2018 0:40,28,71.4,34,69.6,10,62.8,72,69.4,3,100,1
1/01/2018 0:45,32,71.1,28,69.7,10,62.9,70,69.4,3,100,1
1/01/2018 0:50,34,71.1,38,70.7,22,62.8,94,69,3,100,1
1/01/2018 0:55,26,71.2,25,68.7,15,62.7,66,68.3,3,100,1
1/01/2018 1:00,28,72,26,69.4,6,62.5,60,69.9,3,100,1
1/01/2018 1:05,17,72,22,69.8,5,62.7,44,69.8,3,100,1
1/01/2018 1:10,32,70.9,21,69.8,8,62.7,61,69.4,3,100,1
1/01/2018 1:15,26,71.7,25,70,11,62.7,62,69.4,3,100,1
1/01/2018 1:20,25,71.9,22,70,5,62.7,52,70.2,3,100,1
1/01/2018 1:25,23,71.5,28,70.3,11,62.6,62,69.4,3,100,1
1/01/2018 1:30,26,72,25,70,10,62.4,61,69.6,3,100,1
1/01/2018 1:35,20,72.4,20,70.1,4,62.6,44,70.5,3,100,1
1/01/2018 1:40,21,72,16,69.7,9,62.6,46,69.4,3,100,1
1/01/2018 1:45,20,72.2,27,70.1,11,62.6,58,69.4,3,100,1
1/01/2018 1:50,21,72,20,70.2,11,62.6,52,69.3,3,100,1
1/01/2018 1:55,23,71.5,17,70.2,9,62.6,49,69.4,3,100,1
1/01/2018 2:00,9,71.8,16,70.2,6,62.4,31,69.2,3,100,1
1/01/2018 2:05,24,71.8,16,70.2,3,62.5,43,70.6,3,100,1
1/01/2018 2:10,23,71.7,20,69.8,4,62.7,47,70.1,3,100,1
1/01/2018 2:15,23,72.1,20,69.9,5,62.6,48,70.2,3,100,1
1/01/2018 2:20,21,71.5,13,69.8,6,62.5,40,69.6,3,100,1
1/01/2018 2:25,16,71.8,20,69.7,4,62.6,40,69.8,3,100,1
1/01/2018 2:30,25,72,16,69.6,6,62.6,47,70,3,100,1
1/01/2018 2:35,21,71.9,19,69.9,3,62.6,43,70.4,3,100,1
1/01/2018 2:40,19,72.2,24,69.9,5,62.6,48,70.1,3,100,1
1/01/2018 2:45,19,71.9,21,69.9,8,62.5,48,69.5,3,100,1
1/01/2018 2:50,23,72,16,69.5,5,62.3,44,70,3,100,1
1/01/2018 2:55,17,72,16,69.4,5,62.5,38,69.7,3,100,1
1/01/2018 3:00,20,71.8,18,69.4,4,62.6,42,69.9,3,100,1
1/01/2018 3:05,18,72.1,17,69.6,12,62.4,47,68.7,3,100,1
1/01/2018 3:10,23,71.9,11,69.9,2,62.5,36,70.8,3,100,1
1/01/2018 3:15,29,71.3,27,69.3,6,62.6,62,69.6,3,100,1
1/01/2018 3:20,20,71.9,17,69.7,9,62.6,46,69.3,3,100,1
1/01/2018 3:25,15,71.9,17,69.6,8,62.7,40,69.1,3,100,1
1/01/2018 3:30,9,72.1,16,69.8,3,62.8,28,69.8,3,100,1
1/01/2018 3:35,23,71.7,17,69.9,2,62.7,42,70.5,3,100,1
1/01/2018 3:40,15,71.7,18,69.9,0,62.7,33,70.7,3,100,1
1/01/2018 3:45,10,71.8,22,69.4,5,62.6,37,69.1,3,100,1
1/01/2018 3:50,18,72.1,19,69.5,1,62.5,38,70.5,3,100,1
1/01/2018 3:55,15,71.4,8,69.5,4,62.6,27,69.5,3,100,1
1/01/2018 4:00,14,71.8,9,69.6,6,62.9,29,69.3,3,100,1
1/01/2018 4:05,17,71.9,16,69.5,5,62.9,38,69.7,3,100,1
1/01/2018 4:10,8,71.8,8,69.6,2,62.6,18,69.8,3,100,1
1/01/2018 4:15,20,71.9,13,69.7,3,62.5,36,70.3,3,100,1
1/01/2018 4:20,13,71.9,16,69.8,7,62.5,36,69.1,3,100,1
1/01/2018 4:25,4,71.9,13,69.7,6,62.5,23,68.2,3,100,1
1/01/2018 4:30,7,72.1,17,69.6,1,62.5,25,70,3,100,1
1/01/2018 4:35,15,72.3,14,69.7,0,62.5,29,71,3,100,1
1/01/2018 4:40,7,71.4,12,69.5,3,62.7,22,69.2,3,100,1
1/01/2018 4:45,15,71.8,11,69.7,6,62.7,32,69.4,3,100,1
1/01/2018 4:50,15,72.2,8,69.8,6,62.7,29,69.6,3,100,1
1/01/2018 4:55,20,72.1,14,69.6,0,62.7,34,71.1,3,100,1
1/01/2018 5:00,9,72.2,9,69.8,3,62.8,21,69.8,3,100,1
1/01/2018 5:05,10,71.8,13,69.8,4,62.9,27,69.5,3,100,1
1/01/2018 5:10,10,71.6,12,69.2,3,62.6,25,69.4,3,100,1
1/01/2018 5:15,16,70.4,14,69.3,9,62.5,39,68.2,3,100,1
1/01/2018 5:20,16,71,16,69.5,6,62.3,38,69,3,100,1
1/01/2018 5:25,12,71.7,16,69.7,4,62.6,32,69.6,3,100,1
