,5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed,Holiday
0,2017-12-04 00:00:00,1,71.9,11,69.7,4,62.7,16,68.1,3,100,0
1,2017-12-04 00:05:00,5,71.8,7,70,9,62.4,21,67.2,3,100,0
2,2017-12-04 00:10:00,8,71.8,12,69.5,9,62.2,29,67.9,3,100,0
3,2017-12-04 00:15:00,1,71.7,10,69.2,11,62.1,22,65.8,3,100,0
4,2017-12-04 00:20:00,6,71.9,10,69.6,11,61.4,27,66.8,3,100,0
5,2017-12-04 00:25:00,4,71.9,14,69.8,11,62.3,29,67.2,3,100,0
6,2017-12-04 00:30:00,3,71.9,5,69.9,12,62.1,20,65.5,3,100,0
7,2017-12-04 00:35:00,2,72,10,70.1,16,61.7,28,65.4,3,100,0
8,2017-12-04 00:40:00,4,71.9,8,70.1,4,62,16,68.5,3,100,0
9,2017-12-04 00:45:00,4,71.9,12,69.7,8,61.6,24,67.4,3,100,0
10,2017-12-04 00:50:00,3,72,9,69.1,10,62.5,22,66.5,3,100,0
11,2017-12-04 00:55:00,2,72,7,69.5,9,62.7,18,66.4,3,100,0
12,2017-12-04 01:00:00,3,71.9,7,69.6,16,63.1,26,65.9,3,100,0
13,2017-12-04 01:05:00,1,71.9,3,69.8,14,63,18,64.6,3,100,0
14,2017-12-04 01:10:00,2,72.4,5,69.8,5,62.9,12,67.4,3,100,0
15,2017-12-04 01:15:00,2,72.1,5,68.3,1,62.3,8,68.5,3,100,0
16,2017-12-04 01:20:00,0,72.1,5,68.3,3,62.9,8,66.3,3,100,0
17,2017-12-04 01:25:00,1,72,7,69.3,6,63.1,14,66.8,3,100,0
18,2017-12-04 01:30:00,3,71.9,8,69.4,4,63,15,68.2,3,100,0
19,2017-12-04 01:35:00,1,71.8,6,69.3,10,63.1,17,65.8,3,100,0
20,2017-12-04 01:40:00,3,71,6,69.1,21,60.1,30,63,3,100,0
21,2017-12-04 01:45:00,0,71,6,69.4,4,61,10,66,3,100,0
22,2017-12-04 01:50:00,4,71.3,8,69.2,10,61.6,22,66.1,3,100,0
23,2017-12-04 01:55:00,4,71.6,5,69,9,60.6,18,65.4,3,100,0
24,2017-12-04 02:00:00,3,71.9,6,69.7,7,61.8,16,66.7,3,100,0
25,2017-12-04 02:05:00,0,71.9,4,69.9,9,61.7,13,64.2,3,100,0
26,2017-12-04 02:10:00,3,71.8,3,68.9,7,61.7,13,65.7,3,100,0
27,2017-12-04 02:15:00,2,71.8,4,69.4,20,62.9,26,64.6,3,100,0
28,2017-12-04 02:20:00,5,71.9,9,69.5,16,62.5,30,66.2,3,100,0
29,2017-12-04 02:25:00,2,71.9,7,69.4,10,63.2,19,66.4,3,100,0
30,2017-12-04 02:30:00,1,72,3,69.8,9,62.9,13,65.2,3,100,0
31,2017-12-04 02:35:00,3,71.9,6,69.5,9,62.3,18,66.3,3,100,0
32,2017-12-04 02:40:00,0,71.9,3,69.6,8,62.7,11,64.6,3,100,0
33,2017-12-04 02:45:00,2,71.9,7,69.5,7,61.3,16,66.2,3,100,0
34,2017-12-04 02:50:00,1,71.9,7,69.3,17,61.9,25,64.4,3,100,0
35,2017-12-04 02:55:00,1,71.9,5,69.8,10,62.4,16,65.3,3,100,0
36,2017-12-04 03:00:00,4,71.9,5,69.9,8,60.3,17,65.9,3,100,0
37,2017-12-04 03:05:00,1,72,8,68.7,17,62,26,64.4,3,100,0
38,2017-12-04 03:10:00,2,72,0,68.7,14,62.8,16,63.9,3,100,0
39,2017-12-04 03:15:00,1,72,6,69.6,15,63.2,22,65.3,3,100,0
40,2017-12-04 03:20:00,2,72,3,69.3,15,63.7,20,65.4,3,100,0
41,2017-12-04 03:25:00,2,71.9,7,69.7,11,63.1,20,66.3,3,100,0
42,2017-12-04 03:30:00,0,71.9,4,69.4,17,63,21,64.2,3,100,0
43,2017-12-04 03:35:00,3,71.8,12,69.1,16,63.5,31,66.5,3,100,0
44,2017-12-04 03:40:00,3,71.8,10,69.1,17,63.9,30,66.4,3,100,0
45,2017-12-04 03:45:00,8,71.8,9,69.3,14,63.3,31,67.2,3,100,0
46,2017-12-04 03:50:00,1,72,6,69.8,22,63.1,29,64.8,3,100,0
47,2017-12-04 03:55:00,3,71.9,7,70,27,64.4,37,66.1,3,100,0
48,2017-12-04 04:00:00,2,72,7,70.4,8,62.3,17,66.8,3,100,0
49,2017-12-04 04:05:00,9,71.8,8,69.9,21,62.8,38,66.4,3,100,0
50,2017-12-04 04:10:00,5,71.9,11,68.5,13,61.2,29,65.8,3,100,0
51,2017-12-04 04:15:00,5,71.9,16,69.7,24,61.6,45,65.6,3,100,0
52,2017-12-04 04:20:00,9,71.8,13,67.7,31,62.1,53,65.1,3,100,0
53,2017-12-04 04:25:00,4,71.7,16,69.3,13,61.8,33,66.6,3,100,0
54,2017-12-04 04:30:00,2,71.9,11,69.4,20,62.4,33,65.3,3,100,0
55,2017-12-04 04:35:00,8,72,14,67.3,22,62.4,44,65.7,3,100,0
56,2017-12-04 04:40:00,8,72,12,68.3,24,62.5,44,65.8,3,100,0
57,2017-12-04 04:45:00,7,71.9,18,67.8,26,58.6,51,63.7,3,100,0
58,2017-12-04 04:50:00,14,71.8,17,68.5,29,60.6,60,65.5,3,100,0
59,2017-12-04 04:55:00,11,71.8,17,69.1,26,62.8,54,66.6,3,100,0
60,2017-12-04 05:00:00,13,71.8,21,69.1,31,62.2,65,66.3,3,100,0
61,2017-12-04 05:05:00,15,71.8,26,69.4,24,63.2,65,67.7,3,100,0
